sno,sort_order,event_type_mod,side,is_goal,assist_method,shot_outcome_mod,location_mod,Side1_Win,Side2_Win,Draw
3,70,1,2,0,2,1,3,0,1,0
3,71,0,2,0,0,0,6,0,1,0
3,72,1,1,0,1,1,15,0,1,0
3,73,0,1,0,0,0,1,0,1,0
3,74,0,2,0,0,0,2,0,1,0
3,75,3,1,0,0,0,6,0,1,0
3,76,0,2,0,0,0,6,0,1,0
3,77,3,2,0,0,0,6,0,1,0
3,78,0,1,0,0,0,1,0,1,0
3,79,0,2,0,0,0,1,0,1,0
3,80,3,1,0,0,0,6,0,1,0
3,81,0,2,0,0,0,1,0,1,0
3,82,3,1,0,0,0,6,0,1,0
3,83,7,2,0,0,0,6,0,1,0
3,84,1,2,0,0,1,15,0,1,0
3,85,7,1,0,0,0,6,0,1,0
3,86,0,2,0,0,0,1,0,1,0
3,87,3,1,0,0,0,6,0,1,0
3,88,1,1,0,0,1,15,0,1,0
3,89,0,1,0,0,0,6,0,1,0
3,90,1,1,0,0,1,15,0,1,0
3,91,1,1,0,1,2,15,0,1,0
3,92,7,2,0,0,0,6,0,1,0
3,93,0,2,0,0,0,6,0,1,0
3,94,1,2,0,1,1,15,0,1,0
3,95,7,2,0,0,0,6,0,1,0
3,96,7,1,0,0,0,6,0,1,0
3,97,0,1,0,0,0,6,0,1,0
3,98,0,1,0,0,0,6,0,1,0
3,99,3,2,0,0,0,6,0,1,0
3,100,0,1,0,0,0,1,0,1,0
3,101,1,1,0,1,1,15,0,1,0
3,102,0,1,0,0,0,6,0,1,0
3,103,0,1,0,0,0,6,0,1,0
3,104,3,2,0,0,0,6,0,1,0
3,105,0,1,0,0,0,2,0,1,0
3,106,4,2,0,0,0,6,0,1,0
3,107,3,2,0,0,0,6,0,1,0
3,108,0,1,0,0,0,1,0,1,0
3,109,4,2,0,0,0,6,0,1,0
3,110,0,2,0,0,0,2,0,1,0
3,111,3,1,0,0,0,6,0,1,0
3,112,0,2,0,0,0,1,0,1,0
3,113,3,1,0,0,0,6,0,1,0
3,114,0,2,0,0,0,6,0,1,0
4,1,1,2,0,2,1,13,0,0,1
4,2,1,1,0,0,2,15,0,0,1
4,3,0,2,0,0,0,1,0,0,1
4,4,3,1,0,0,0,6,0,0,1
4,5,3,2,0,0,0,6,0,0,1
4,6,0,1,0,0,0,1,0,0,1
4,7,1,1,0,1,2,3,0,0,1
4,8,0,2,0,0,0,1,0,0,1
4,9,3,1,0,0,0,6,0,0,1
4,10,0,1,0,0,0,1,0,0,1
4,11,3,2,0,0,0,6,0,0,1
4,12,3,2,0,0,0,6,0,0,1
4,13,0,1,0,0,0,1,0,0,1
4,14,4,2,0,0,0,6,0,0,1
4,15,0,2,0,0,0,1,0,0,1
4,16,3,1,0,0,0,6,0,0,1
4,17,0,2,0,0,0,6,0,0,1
4,18,1,2,0,2,2,13,0,0,1
4,19,0,2,0,0,0,6,0,0,1
4,20,0,1,0,0,0,2,0,0,1
4,21,3,2,0,0,0,6,0,0,1
4,22,1,1,0,1,2,15,0,0,1
4,23,3,1,0,0,0,6,0,0,1
4,24,0,2,0,0,0,1,0,0,1
4,25,0,2,0,0,0,6,0,0,1
4,26,0,1,0,0,0,6,0,0,1
4,27,3,1,0,0,0,6,0,0,1
4,28,0,2,0,0,0,2,0,0,1
4,29,0,2,0,0,0,6,0,0,1
4,30,1,2,0,2,2,6,0,0,1
4,31,0,1,0,0,0,6,0,0,1
4,32,1,2,0,1,1,15,0,0,1
4,33,1,1,0,1,1,15,0,0,1
4,34,1,1,0,2,2,3,0,0,1
4,35,1,1,1,1,1,15,1,0,0
4,36,0,2,0,0,0,6,1,0,0
4,37,1,2,0,2,1,3,1,0,0
4,38,0,2,0,0,0,6,1,0,0
4,39,1,1,0,1,2,15,1,0,0
4,40,0,1,0,0,0,2,1,0,0
4,41,3,2,0,0,0,6,1,0,0
4,42,0,1,0,0,0,1,1,0,0
4,43,3,2,0,0,0,6,1,0,0
4,44,0,1,0,0,0,6,1,0,0
4,45,1,2,0,0,1,15,1,0,0
4,46,1,2,0,0,1,13,1,0,0
4,47,3,1,0,0,0,6,1,0,0
4,48,0,2,0,0,0,1,1,0,0
4,49,1,2,0,0,2,3,1,0,0
4,50,1,2,0,1,1,15,1,0,0
4,51,0,1,0,0,0,6,1,0,0
4,52,1,1,0,0,1,15,1,0,0
4,53,1,1,0,2,1,3,1,0,0
4,54,0,2,0,0,0,6,1,0,0
4,55,0,2,0,0,0,6,1,0,0
4,56,0,1,0,0,0,6,1,0,0
4,57,0,2,0,0,0,6,1,0,0
4,58,0,1,0,0,0,2,1,0,0
4,59,3,2,0,0,0,6,1,0,0
4,60,1,2,0,1,1,3,1,0,0
4,61,7,2,0,0,0,6,1,0,0
4,62,0,1,0,0,0,6,1,0,0
4,63,7,1,0,0,0,6,1,0,0
4,64,3,1,0,0,0,6,1,0,0
4,65,0,2,0,0,0,2,1,0,0
4,66,0,1,0,0,0,2,1,0,0
4,67,3,2,0,0,0,6,1,0,0
4,68,3,1,0,0,0,6,1,0,0
4,69,0,2,0,0,0,1,1,0,0
4,70,4,1,0,0,0,6,1,0,0
4,71,0,1,0,0,0,2,1,0,0
4,72,3,2,0,0,0,6,1,0,0
4,73,7,2,0,0,0,6,1,0,0
4,74,7,1,0,0,0,6,1,0,0
4,75,0,1,0,0,0,1,1,0,0
4,76,0,1,0,0,0,1,1,0,0
4,77,3,2,0,0,0,6,1,0,0
4,78,3,1,0,0,0,6,1,0,0
4,79,0,2,0,0,0,1,1,0,0
4,80,1,1,0,0,1,15,1,0,0
4,81,0,1,0,0,0,6,1,0,0
